n_calib,K,rep,task_seed,method,interval_left,interval_right,interval_length,satisfies_picpi
1000,100,10,64606459,Empirical mode,0.8200000000000001,0.86,0.039999999999999925,True
1000,100,10,64606459,Empirical mode,0.86,0.92,0.06000000000000005,True
1000,100,10,64606459,Empirical mode,0.92,0.96,0.039999999999999925,True
1000,100,10,64606459,Empirical mode,0.96,1.0,0.040000000000000036,True
1000,100,11,2294287624,Empirical mode,0.0,0.06,0.06,True
1000,100,11,2294287624,Empirical mode,0.06,0.1,0.04000000000000001,True
1000,100,11,2294287624,Empirical mode,0.1,0.12,0.01999999999999999,True
1000,100,11,2294287624,Empirical mode,0.12,0.17,0.05000000000000002,True
1000,100,11,2294287624,Empirical mode,0.17,0.21,0.03999999999999998,True
1000,100,11,2294287624,Empirical mode,0.21,0.23,0.020000000000000018,False
1000,100,11,2294287624,Empirical mode,0.23,0.42,0.18999999999999997,True
1000,100,11,2294287624,Empirical mode,0.42,0.49,0.07,True
1000,100,11,2294287624,Empirical mode,0.49,0.58,0.08999999999999997,True
1000,100,11,2294287624,Empirical mode,0.58,0.66,0.08000000000000007,True
1000,100,11,2294287624,Empirical mode,0.66,0.72,0.05999999999999994,True
1000,100,11,2294287624,Empirical mode,0.72,0.8,0.08000000000000007,True
1000,100,11,2294287624,Empirical mode,0.8,0.85,0.04999999999999993,True
1000,100,11,2294287624,Empirical mode,0.85,0.93,0.08000000000000007,True
1000,100,11,2294287624,Empirical mode,0.93,0.99,0.05999999999999994,True
1000,100,11,2294287624,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,12,292550234,Empirical mode,0.0,0.1,0.1,True
1000,100,12,292550234,Empirical mode,0.1,0.12,0.01999999999999999,True
1000,100,12,292550234,Empirical mode,0.12,0.18,0.06,True
1000,100,12,292550234,Empirical mode,0.18,0.27,0.09000000000000002,True
1000,100,12,292550234,Empirical mode,0.27,0.3,0.02999999999999997,True
1000,100,12,292550234,Empirical mode,0.3,0.32,0.020000000000000018,True
1000,100,12,292550234,Empirical mode,0.32,0.36,0.03999999999999998,True
1000,100,12,292550234,Empirical mode,0.36,0.41000000000000003,0.050000000000000044,True
1000,100,12,292550234,Empirical mode,0.41000000000000003,0.51,0.09999999999999998,True
1000,100,12,292550234,Empirical mode,0.51,0.59,0.07999999999999996,True
1000,100,12,292550234,Empirical mode,0.59,0.63,0.040000000000000036,True
1000,100,12,292550234,Empirical mode,0.63,0.67,0.040000000000000036,True
1000,100,12,292550234,Empirical mode,0.67,0.71,0.039999999999999925,True
1000,100,12,292550234,Empirical mode,0.71,0.75,0.040000000000000036,True
1000,100,12,292550234,Empirical mode,0.75,0.8300000000000001,0.08000000000000007,True
1000,100,12,292550234,Empirical mode,0.8300000000000001,0.9,0.06999999999999995,True
1000,100,12,292550234,Empirical mode,0.9,0.9400000000000001,0.040000000000000036,True
1000,100,12,292550234,Empirical mode,0.9400000000000001,0.97,0.029999999999999916,True
1000,100,12,292550234,Empirical mode,0.97,0.99,0.020000000000000018,True
1000,100,12,292550234,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,13,546986355,Empirical mode,0.0,0.03,0.03,True
1000,100,13,546986355,Empirical mode,0.03,0.06,0.03,True
1000,100,13,546986355,Empirical mode,0.06,0.15,0.09,True
1000,100,13,546986355,Empirical mode,0.15,0.22,0.07,True
1000,100,13,546986355,Empirical mode,0.22,0.31,0.09,True
1000,100,13,546986355,Empirical mode,0.31,0.38,0.07,True
1000,100,13,546986355,Empirical mode,0.38,0.42,0.03999999999999998,True
1000,100,13,546986355,Empirical mode,0.42,0.48,0.06,True
1000,100,13,546986355,Empirical mode,0.48,0.52,0.040000000000000036,True
1000,100,13,546986355,Empirical mode,0.52,0.5700000000000001,0.050000000000000044,True
1000,100,13,546986355,Empirical mode,0.5700000000000001,0.65,0.07999999999999996,True
1000,100,13,546986355,Empirical mode,0.65,0.8,0.15000000000000002,True
1000,100,13,546986355,Empirical mode,0.8,0.85,0.04999999999999993,True
1000,100,13,546986355,Empirical mode,0.85,0.88,0.030000000000000027,True
1000,100,13,546986355,Empirical mode,0.88,0.96,0.07999999999999996,True
1000,100,13,546986355,Empirical mode,0.96,0.98,0.020000000000000018,True
1000,100,13,546986355,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,14,530132906,Empirical mode,0.0,0.03,0.03,True
1000,100,14,530132906,Empirical mode,0.03,0.06,0.03,True
1000,100,14,530132906,Empirical mode,0.06,0.1,0.04000000000000001,True
1000,100,14,530132906,Empirical mode,0.1,0.12,0.01999999999999999,True
1000,100,14,530132906,Empirical mode,0.12,0.24,0.12,True
1000,100,14,530132906,Empirical mode,0.24,0.33,0.09000000000000002,True
1000,100,14,530132906,Empirical mode,0.33,0.37,0.03999999999999998,True
1000,100,14,530132906,Empirical mode,0.37,0.49,0.12,True
1000,100,14,530132906,Empirical mode,0.49,0.51,0.020000000000000018,True
1000,100,14,530132906,Empirical mode,0.51,0.65,0.14,True
1000,100,14,530132906,Empirical mode,0.65,0.73,0.07999999999999996,True
1000,100,14,530132906,Empirical mode,0.73,0.81,0.08000000000000007,True
1000,100,14,530132906,Empirical mode,0.81,0.92,0.10999999999999999,True
1000,100,14,530132906,Empirical mode,0.92,0.9500000000000001,0.030000000000000027,True
1000,100,14,530132906,Empirical mode,0.9500000000000001,0.98,0.029999999999999916,True
1000,100,14,530132906,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,15,3951199292,Empirical mode,0.0,0.03,0.03,True
1000,100,15,3951199292,Empirical mode,0.03,0.06,0.03,True
1000,100,15,3951199292,Empirical mode,0.06,0.13,0.07,True
1000,100,15,3951199292,Empirical mode,0.13,0.21,0.07999999999999999,True
1000,100,15,3951199292,Empirical mode,0.21,0.31,0.1,True
1000,100,15,3951199292,Empirical mode,0.31,0.37,0.06,True
1000,100,15,3951199292,Empirical mode,0.37,0.44,0.07,True
1000,100,15,3951199292,Empirical mode,0.44,0.53,0.09000000000000002,True
1000,100,15,3951199292,Empirical mode,0.53,0.59,0.05999999999999994,True
1000,100,15,3951199292,Empirical mode,0.59,0.77,0.18000000000000005,True
1000,100,15,3951199292,Empirical mode,0.77,0.81,0.040000000000000036,True
1000,100,15,3951199292,Empirical mode,0.81,0.8200000000000001,0.010000000000000009,False
1000,100,15,3951199292,Empirical mode,0.8200000000000001,0.84,0.019999999999999907,True
1000,100,15,3951199292,Empirical mode,0.84,0.87,0.030000000000000027,True
1000,100,15,3951199292,Empirical mode,0.87,0.89,0.020000000000000018,True
1000,100,15,3951199292,Empirical mode,0.89,0.92,0.030000000000000027,True
1000,100,15,3951199292,Empirical mode,0.92,0.96,0.039999999999999925,True
1000,100,15,3951199292,Empirical mode,0.96,0.99,0.030000000000000027,True
1000,100,15,3951199292,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,16,3657105292,Empirical mode,0.0,0.03,0.03,True
1000,100,16,3657105292,Empirical mode,0.03,0.06,0.03,True
1000,100,16,3657105292,Empirical mode,0.06,0.08,0.020000000000000004,True
