method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Fixed-width binning,0.6666666666666666,1000,0.795318,0.02722527486714491,0.6356103057559606,0.019929330197160488,0.5735492112837788,0.04403574315024386,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.7333333333333333,1000,0.9093184999999999,0.032628391312929744,0.7014839746408668,0.01953393969672637,0.6382517182262799,0.046697308120207275,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.8,1000,1.045832,0.043364845045102934,0.766802338004153,0.01923221391397727,0.7021799527865915,0.04978771287599604,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.8666666666666667,1000,1.229794,0.06652414994967265,0.8324289834359104,0.01913906433396267,0.7657164982319548,0.05282796029591672,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.9333333333333332,1000,1.6466395,0.23982378058792547,0.8965643963441461,0.01853715342138685,0.8262779923187994,0.053473463233124734,population_nonlinear,Population-style nonlinear
Fixed-width binning,1.0,1000,3.275694,0.3721438046983656,0.9632964998436732,0.02015982211409664,0.8931569223151516,0.05823097813314311,population_nonlinear,Population-style nonlinear
PICPI,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
PICPI,0.0666666666666666,1000,0.098836,0.013503571766405003,0.08520689238158535,0.014144719487782677,0.061101179948469135,0.01339046780050595,population_nonlinear,Population-style nonlinear
PICPI,0.1333333333333333,1000,0.17848,0.01747542533074633,0.1568872790596377,0.017067389757836896,0.12594778695680459,0.01752500561369957,population_nonlinear,Population-style nonlinear
PICPI,0.2,1000,0.26033100000000003,0.020611726814662622,0.22848721073523728,0.018593744983654775,0.19236642440212023,0.020008796375184774,population_nonlinear,Population-style nonlinear
PICPI,0.2666666666666666,1000,0.35434550000000004,0.03030085843291856,0.3008266378470958,0.020797523129869624,0.26045274802291174,0.021127424887498972,population_nonlinear,Population-style nonlinear
PICPI,0.3333333333333333,1000,0.470551,0.04879639317600212,0.3818706849060194,0.0313064009666251,0.33172466148618696,0.02321884850604781,population_nonlinear,Population-style nonlinear
PICPI,0.4,1000,0.5699885,0.04656615750493888,0.48441994983522735,0.032532007991208874,0.42058109610143724,0.0357546213677883,population_nonlinear,Population-style nonlinear
PICPI,0.4666666666666667,1000,0.6229315000000001,0.03980892875421994,0.5319393317419387,0.027663421772068347,0.47754799261330294,0.02879312553167505,population_nonlinear,Population-style nonlinear
PICPI,0.5333333333333333,1000,0.704014,0.033267311553806335,0.5890391266077518,0.022639467908498315,0.5381627246530092,0.022831148779755596,population_nonlinear,Population-style nonlinear
PICPI,0.6,1000,0.8093625,0.0335539000409484,0.6542837492467454,0.01830705707474888,0.6038854514929632,0.019746326752556106,population_nonlinear,Population-style nonlinear
PICPI,0.6666666666666666,1000,0.9335315000000001,0.03913621597895169,0.72184610849185,0.016934834898572098,0.6726189871559234,0.019667660457499687,population_nonlinear,Population-style nonlinear
PICPI,0.7333333333333333,1000,1.0833855000000001,0.04851829721780139,0.7894358998856347,0.01449242027788337,0.7430725217601014,0.018083722485278755,population_nonlinear,Population-style nonlinear
PICPI,0.8,1000,1.277805,0.06665390249428546,0.8552577402738549,0.012431671588091461,0.8140772383387007,0.016410409546986974,population_nonlinear,Population-style nonlinear
PICPI,0.8666666666666667,1000,1.619723,0.20184877061106216,0.9140155746788861,0.009573421607810741,0.8844906118732467,0.013504392054456913,population_nonlinear,Population-style nonlinear
PICPI,0.9333333333333332,1000,2.328342,0.2896443714245072,0.9643648073707314,0.008608936991097002,0.9466961320375975,0.01321707489439646,population_nonlinear,Population-style nonlinear
PICPI,1.0,1000,3.9997825,0.0005605871992902029,0.9993752150769383,0.0015969189391877216,0.9975707064204706,0.006223009502027277,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.0,1000,0.000501,0.000683349080606659,0.000293313184196478,0.00040069716549917593,0.0,0.0,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.0666666666666666,1000,0.066535,0.007571862921904232,0.03938687455313174,0.004463776656835585,5.65104074645717e-13,1.7870159909222738e-11,population_nonlinear,Population-style nonlinear
