method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Fixed-width binning,0.6,1000,0.8584714999999999,0.027092590245234843,0.5826380961960095,0.013393402657287038,0.5525490494361198,0.020717231264249153,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.6666666666666666,1000,1.0172569999999999,0.03058619731948491,0.6492073841104774,0.012688730425978642,0.6190704028691453,0.020987434007162877,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.7333333333333333,1000,1.2062570000000001,0.0359190148337427,0.7162909073318653,0.012122455334477965,0.6864497665479746,0.021676729460965286,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.8,1000,1.4390260000000001,0.043310508241350874,0.7834232398708658,0.011447161417221909,0.7537139722769839,0.02271305783680958,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.8666666666666667,1000,1.747325,0.05365703077837941,0.8510617745957886,0.01041091145014008,0.8208812601495099,0.023540862674273935,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.9333333333333332,1000,2.2149965000000003,0.07323669060382645,0.9184705795977888,0.009340162291472076,0.8872896063301156,0.025186784329954796,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,1.0,1000,3.611413,0.18671447111759903,0.9862934227268022,0.008315875354461722,0.9561434789932793,0.02737083294631495,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.0666666666666666,1000,0.097588,0.013924552026875016,0.08008639810509367,0.009975224950231008,0.0613773649049704,0.010745073877122743,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.1333333333333333,1000,0.1783915,0.017125924063390717,0.1492483804984755,0.012377066564194189,0.12559244668430408,0.014747990434422962,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.2,1000,0.2662815,0.018855557265426804,0.21913524954336266,0.013121907602618898,0.19286039813284403,0.017623282035447094,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.2666666666666666,1000,0.3615345,0.021602736817079176,0.28947909425360796,0.014724946074722663,0.26026576385404215,0.018771495566360447,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.3333333333333333,1000,0.466792,0.023039163158392675,0.3601939374298534,0.01462421394580789,0.3287615139842911,0.020448601781809086,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.4,1000,0.581647,0.024321902597164255,0.43030362882523426,0.014267414154513224,0.39871346446034084,0.020694351531953998,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.4666666666666667,1000,0.7101280000000001,0.027457130403776887,0.5007025364665677,0.014037204693703452,0.4690445171336969,0.0205484266380688,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.5333333333333333,1000,0.8554109999999999,0.028734304224032302,0.5709663551363748,0.012964246633293213,0.5398277310815293,0.01951401747671917,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.6,1000,1.0180005,0.03374466553697338,0.639635143123938,0.012783475989764826,0.6105681519115885,0.018984709914623758,true_linear_gaussian_d10,True linear Gaussian 10d
