n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
10000,0.31247099999999994,0.31999999999999995,0.32,0.32999999999999996,1.0,2305,2305,0.09729530713186156,30
10000,0.318627,0.32999999999999996,0.33,0.33,1.0,2232,2232,0.09729530713186156,31
10000,0.30864699999999995,0.31,0.32000000000000006,0.32999999999999996,1.0,2297,2297,0.09729530713186156,32
10000,0.31736800000000004,0.32,0.32000000000000006,0.32999999999999996,1.0,2274,2274,0.09729530713186156,33
10000,0.310061,0.32999999999999996,0.34,0.34,1.0,2296,2296,0.09729530713186156,34
10000,0.308792,0.31,0.32000000000000006,0.32999999999999996,1.0,2313,2313,0.09729530713186156,35
10000,0.31421899999999997,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2215,2215,0.09729530713186156,36
10000,0.325841,0.32999999999999996,0.32999999999999996,0.32999999999999996,1.0,2256,2256,0.09729530713186156,37
10000,0.32970900000000003,0.33,0.33999999999999997,0.33999999999999997,1.0,2180,2180,0.09729530713186156,38
10000,0.31754999999999994,0.31999999999999995,0.31999999999999995,0.33999999999999997,1.0,2274,2274,0.09729530713186156,39
10000,0.30873300000000004,0.30999999999999994,0.31999999999999995,0.32999999999999996,1.0,2314,2314,0.09729530713186156,40
10000,0.314046,0.32,0.33,0.33,1.0,2236,2236,0.09729530713186156,41
10000,0.3001,0.29999999999999993,0.32000000000000006,0.32000000000000006,1.0,2350,2350,0.09729530713186156,42
10000,0.3150899999999999,0.32,0.34,0.34,1.0,2190,2190,0.09729530713186156,43
10000,0.300453,0.31,0.32000000000000006,0.32000000000000006,1.0,2304,2304,0.09729530713186156,44
10000,0.31788500000000003,0.33,0.34,0.34,1.0,2225,2225,0.09729530713186156,45
10000,0.31310299999999996,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2307,2307,0.09729530713186156,46
10000,0.32607699999999995,0.32999999999999996,0.34,0.34,1.0,2231,2231,0.09729530713186156,47
10000,0.31772100000000003,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2271,2271,0.09729530713186156,48
10000,0.309512,0.31999999999999995,0.33,0.33000000000000007,1.0,2276,2276,0.09729530713186156,49
10000,0.32958400000000004,0.32999999999999996,0.34,0.34,1.0,2230,2230,0.09729530713186156,50
10000,0.304341,0.30999999999999994,0.31999999999999995,0.32000000000000006,1.0,2279,2279,0.09729530713186156,51
10000,0.315958,0.32,0.32,0.32999999999999996,1.0,2328,2328,0.09729530713186156,52
10000,0.3030709999999999,0.30999999999999994,0.31999999999999995,0.32999999999999996,1.0,2360,2360,0.09729530713186156,53
10000,0.316898,0.31999999999999995,0.32999999999999996,0.33,1.0,2277,2277,0.09729530713186156,54
10000,0.3229789999999999,0.32,0.33999999999999997,0.33999999999999997,1.0,2250,2250,0.09729530713186156,55
10000,0.300423,0.3,0.31999999999999995,0.32999999999999996,1.0,2309,2309,0.09729530713186156,56
10000,0.304418,0.30999999999999994,0.31999999999999995,0.33999999999999997,1.0,2257,2257,0.09729530713186156,57
10000,0.321119,0.32,0.32999999999999996,0.33,1.0,2296,2296,0.09729530713186156,58
10000,0.30511499999999997,0.3,0.32,0.32999999999999996,1.0,2342,2342,0.09729530713186156,59
