Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Calibration-based interval,0.02,0.0146945434148335,0.013126663762916,0.52,0.2643,27
Fixed-width binning,0.02,0.0131169753124089,0.0131320131439001,1.0,0.321,27
Simultaneous confidence interval,0.4051251347611722,0.0653629282286291,0.0399317605728332,,1.0,28
PICPI,0.119618,0.0229541044296636,0.022726734198224,1.0,0.742,28
Split conformal prediction,0.8678977797625747,0.2626610026550611,0.0304644611563339,,1.0,28
Calibration-based interval,0.0199999999999999,0.0265832625694267,0.0266210898497341,0.78,0.2403,28
Fixed-width binning,0.02,0.0291359063623893,0.0291328150681403,1.0,0.2413,28
Simultaneous confidence interval,0.4132670991108939,0.0708917558495403,0.0318875091101545,,1.0,29
PICPI,0.108357306122449,0.0116225510869315,0.0104005431441111,1.0,0.7806,29
Split conformal prediction,0.8771192490106594,0.2776047424630893,0.0231984173398025,,1.0,29
Calibration-based interval,0.0199999999999999,0.0107825481431032,0.0094628297537179,0.52,0.2698,29
Fixed-width binning,0.02,0.01123796875315,0.0112747528192666,1.0,0.2788,29
Simultaneous confidence interval,0.4155673598207903,0.0746275886024236,0.036243030274098,,1.0,30
PICPI,0.1100912244897959,0.0091130158698753,0.0072701180600048,1.0,0.7412,30
Split conformal prediction,0.8738420887879589,0.2727173871862364,0.0271253431480543,,1.0,30
Calibration-based interval,0.02,0.0113164890880239,0.0068512778751665,0.4,0.2346,30
Fixed-width binning,0.02,0.0073438421652301,0.0073599528284621,1.0,0.2429,30
Simultaneous confidence interval,0.3949596382975223,0.052959291526358,0.0281189135320112,,1.0,31
PICPI,0.1240963673469388,0.0144275014172486,0.0157100257606596,1.0,0.8624,31
Split conformal prediction,0.8543058063494187,0.257809343995702,0.0231836043644658,,1.0,31
Calibration-based interval,0.0199999999999999,0.0164665800078259,0.0153673071175496,0.6,0.285,31
Fixed-width binning,0.02,0.0164189534504112,0.0164522984372638,1.0,0.2961,31
Simultaneous confidence interval,0.4007428881860171,0.060799729091801,0.0299687533667264,,1.0,32
PICPI,0.110908612244898,0.007115972890005,0.0070332023972667,1.0,0.8061,32
Split conformal prediction,0.8674968526971399,0.2698033508112976,0.022418716003044,,1.0,32
Calibration-based interval,0.02,0.0124252545701392,0.0062109389866003,0.44,0.2266,32
Fixed-width binning,0.02,0.0072131635799417,0.0074539433927851,1.0,0.3067,32
Simultaneous confidence interval,0.3961932996670813,0.0533890506896295,0.036542504969304,,1.0,33
PICPI,0.116462612244898,0.0181859394085505,0.0198830337167846,1.0,0.7542,33
Split conformal prediction,0.8582277306805886,0.259176152004777,0.0302838647549213,,1.0,33
Calibration-based interval,0.02,0.0180982739775954,0.0182626388412103,0.6,0.2299,33
Fixed-width binning,0.02,0.0211951009939498,0.0211696902269756,1.0,0.241,33
Simultaneous confidence interval,0.4028007731993253,0.0569721925058029,0.0250318735535936,,1.0,34
PICPI,0.1085374285714285,0.0074995776677931,0.0073455116523639,1.0,0.8446,34
Split conformal prediction,0.8594595081963297,0.2600442992493489,0.0196085959240783,,1.0,34
Calibration-based interval,0.02,0.0086841021781765,0.0076548822791453,0.72,0.3199,34
Fixed-width binning,0.02,0.0084310107448107,0.0084803221643434,1.0,0.3287,34
Simultaneous confidence interval,0.4049697778385877,0.066997582706876,0.0408253585130635,,1.0,35
PICPI,0.1069547755102041,0.0101528907848019,0.0103872004557772,1.0,0.704,35
Split conformal prediction,0.8821114224495906,0.2787706529135386,0.0289929015009027,,1.0,35
Calibration-based interval,0.0199999999999999,0.0111497041655803,0.0104033636306737,0.52,0.2462,35
Fixed-width binning,0.02,0.0110631901270065,0.0111319450855841,1.0,0.2472,35
Simultaneous confidence interval,0.4056419316982977,0.0629431774707488,0.0322681279889643,,1.0,36
PICPI,0.1048588163265306,0.0114189164824986,0.0110790717837824,1.0,0.7781,36
Split conformal prediction,0.8583034932879691,0.2590203467506353,0.025010619499592,,1.0,36
Calibration-based interval,0.02,0.0172505667615251,0.011252021445616,0.4,0.2594,36
Fixed-width binning,0.02,0.010938004879306,0.0109989427485249,1.0,0.2939,36
